name	variant	category
Roboto 100	100	sans-serif
Roboto 100italic	100italic	sans-serif
Roboto 300	300	sans-serif
Roboto 300italic	300italic	sans-serif
Roboto regular	regular	sans-serif
Roboto italic	italic	sans-serif
Roboto 500	500	sans-serif
Roboto 500italic	500italic	sans-serif
Roboto 700	700	sans-serif
Roboto 700italic	700italic	sans-serif
Roboto 900	900	sans-serif
Roboto 900italic	900italic	sans-serif
Open Sans 300	300	sans-serif
Open Sans 300italic	300italic	sans-serif
Open Sans regular	regular	sans-serif
Open Sans italic	italic	sans-serif
Open Sans 600	600	sans-serif
Open Sans 600italic	600italic	sans-serif
Open Sans 700	700	sans-serif
Open Sans 700italic	700italic	sans-serif
Open Sans 800	800	sans-serif
Open Sans 800italic	800italic	sans-serif
Lato 100	100	sans-serif
Lato 100italic	100italic	sans-serif
Lato 300	300	sans-serif
Lato 300italic	300italic	sans-serif
Lato regular	regular	sans-serif
Lato italic	italic	sans-serif
Lato 700	700	sans-serif
Lato 700italic	700italic	sans-serif
Lato 900	900	sans-serif
Lato 900italic	900italic	sans-serif
Slabo 27px regular	regular	serif
Roboto Condensed 300	300	sans-serif
Roboto Condensed 300italic	300italic	sans-serif
Roboto Condensed regular	regular	sans-serif
Roboto Condensed italic	italic	sans-serif
Roboto Condensed 700	700	sans-serif
Roboto Condensed 700italic	700italic	sans-serif
Oswald 200	200	sans-serif
Oswald 300	300	sans-serif
Oswald regular	regular	sans-serif
Oswald 500	500	sans-serif
Oswald 600	600	sans-serif
Oswald 700	700	sans-serif
Source Sans Pro 200	200	sans-serif
Source Sans Pro 200italic	200italic	sans-serif
Source Sans Pro 300	300	sans-serif
Source Sans Pro 300italic	300italic	sans-serif
Source Sans Pro regular	regular	sans-serif
Source Sans Pro italic	italic	sans-serif
Source Sans Pro 600	600	sans-serif
Source Sans Pro 600italic	600italic	sans-serif
Source Sans Pro 700	700	sans-serif
Source Sans Pro 700italic	700italic	sans-serif
Source Sans Pro 900	900	sans-serif
Source Sans Pro 900italic	900italic	sans-serif
Montserrat 100	100	sans-serif
Montserrat 100italic	100italic	sans-serif
Montserrat 200	200	sans-serif
Montserrat 200italic	200italic	sans-serif
Montserrat 300	300	sans-serif
Montserrat 300italic	300italic	sans-serif
Montserrat regular	regular	sans-serif
Montserrat italic	italic	sans-serif
Montserrat 500	500	sans-serif
Montserrat 500italic	500italic	sans-serif
Montserrat 600	600	sans-serif
Montserrat 600italic	600italic	sans-serif
Montserrat 700	700	sans-serif
Montserrat 700italic	700italic	sans-serif
Montserrat 800	800	sans-serif
Montserrat 800italic	800italic	sans-serif
Montserrat 900	900	sans-serif
Montserrat 900italic	900italic	sans-serif
Raleway 100	100	sans-serif
Raleway 100italic	100italic	sans-serif
Raleway 200	200	sans-serif
Raleway 200italic	200italic	sans-serif
Raleway 300	300	sans-serif
Raleway 300italic	300italic	sans-serif
Raleway regular	regular	sans-serif
Raleway italic	italic	sans-serif
Raleway 500	500	sans-serif
Raleway 500italic	500italic	sans-serif
Raleway 600	600	sans-serif
Raleway 600italic	600italic	sans-serif
